Time	SENS2_FZ
0	0,013523
0,0009584	0,016639
0,0021765	0,018752
0,0033946	0,020472
0,0046126	0,021562
0,0055343	0,022352
0,0064561	0,022861
0,0073778	0,023023
0,0085959	0,02369
0,0098139	0,024281
0,011032	0,024837
0,01225	0,025301
0,013085	0,025694
0,01392	0,026029
0,014756	0,026408
0,015974	0,026875
0,017192	0,027347
0,01841	0,027728
0,019628	0,028218
0,020463	0,028586
0,021298	0,028928
0,022133	0,029259
0,023351	0,029675
0,024569	0,029928
0,025788	0,030284
0,027006	0,030688
0,027841	0,031037
0,028676	0,031328
0,029511	0,031735
0,030729	0,031936
0,03177	0,0323
0,032604	0,031888
0,033365	0,032121
0,03454	0,032272
0,035714	0,032619
0,036889	0,033155
0,037873	0,033666
0,038922	0,033752
0,039852	0,034145
0,040825	0,034263
0,041972	0,034773
0,042737	0,034849
0,043502	0,035092
0,044267	0,035259
0,045165	0,035469
0,04596	0,03578
0,046771	0,036087
0,047751	0,036527
0,0486	0,036845
0,049608	0,037063
0,050287	0,037192
0,050966	0,037375
0,051644	0,037845
0,052791	0,038582
0,053896	0,03869
0,054599	0,038744
0,055483	0,039118
0,056448	0,039165
0,057219	0,039269
0,05782	0,039567
0,058221	0,039878
0,058621	0,040124
0,059022	0,04044
0,059732	0,040525
0,060428	0,040818
0,061103	0,041101
0,061683	0,041466
0,062221	0,041579
0,062706	0,041785
0,063148	0,042607
0,063538	0,044143
0,063876	0,044251
0,06423	0,043516
0,064519	0,044403
0,064995	0,046151
0,065698	0,047871
0,0664	0,048356
0,067117	0,048698
0,067952	0,049676
0,068731	0,050793
0,069398	0,05147
0,070028	0,052059
0,071101	0,052145
0,071994	0,05338
0,072886	0,053842
0,073778	0,054839
0,074826	0,055528
0,075752	0,057035
0,076689	0,057765
0,077753	0,058784
0,078816	0,059594
0,079596	0,060272
0,080116	0,061215
0,080636	0,062347
0,081156	0,063487
0,082097	0,064291
0,082917	0,064955
0,083824	0,065486
0,084513	0,066622
0,085063	0,067164
0,085786	0,067462
0,086423	0,067898
0,086946	0,068858
0,087475	0,069345
0,088004	0,069707
0,088533	0,069988
0,089124	0,07037
0,089501	0,070689
0,089997	0,0714
0,09077	0,071982
0,091475	0,072333
0,092095	0,073296
0,09262	0,073591
0,092994	0,07413
0,093299	0,074285
0,093522	0,074101
0,094053	0,0736
0,094543	0,073918
0,094999	0,074319
0,095455	0,074537
0,095911	0,074812
0,096567	0,075
0,09725	0,075818
0,097933	0,076777
0,098356	0,077139
0,098901	0,078169
0,099268	0,0786
0,099634	0,079332
0,1	0,079964
0,10032	0,080264
0,10059	0,080793
0,10083	0,081681
0,10104	0,082766
0,10135	0,08318
0,10167	0,083998
0,10221	0,084406
0,10275	0,085546
0,10329	0,085902
0,10333	0,086334
0,10389	0,087649
0,10444	0,088925
0,105	0,091474
0,10552	0,093476
0,1059	0,094317
0,10628	0,095914
0,10648	0,096905
0,10667	0,09757
0,10696	0,10636
0,1073	0,12312
0,10759	0,13834
0,10784	0,14879
0,10809	0,16026
0,10833	0,1716
0,10861	0,18616
0,10881	0,19814
0,10892	0,20381
0,10901	0,21244
0,10911	0,22477
0,10926	0,23838
0,1094	0,25444
0,10953	0,2723
0,10965	0,28854
0,10975	0,29717
0,10984	0,30869
0,10992	0,32103
0,11	0,33055
0,11008	0,33413
0,11016	0,34396
0,11022	0,3495
0,1103	0,35417
0,11036	0,35747
0,11043	0,36191
0,1105	0,36481
0,11056	0,37138
0,11061	0,37311
0,11067	0,37311
