Pilot Height	SENS1_FZ
0	0,021312
0,28752	0,026452
0,65294	0,029773
1,0184	0,032483
1,3838	0,034186
1,6603	0,035467
1,9368	0,036141
2,2133	0,036793
2,5788	0,037606
2,9442	0,038617
3,3096	0,039538
3,675	0,040303
3,9256	0,040897
4,1761	0,041421
4,4267	0,042048
4,7921	0,042793
5,1575	0,043373
5,5229	0,043969
5,8884	0,044786
6,1389	0,045226
6,3895	0,045648
6,64	0,046188
7,0054	0,046903
7,3708	0,047665
7,7363	0,047703
8,1017	0,048426
8,3522	0,048708
8,6028	0,049024
8,8533	0,049015
9,2188	0,049331
9,5311	0,04993
9,7813	0,050519
10,01	0,05082
10,362	0,051477
10,714	0,05146
11,067	0,052418
11,362	0,052925
11,677	0,053654
11,956	0,053883
12,247	0,054454
12,592	0,054904
12,821	0,055605
13,051	0,055905
13,28	0,05636
13,55	0,05681
13,788	0,057115
14,031	0,057409
14,325	0,058302
14,58	0,058706
14,882	0,059216
15,086	0,059546
15,29	0,059753
15,493	0,059877
15,837	0,060651
16,169	0,061071
16,38	0,061713
16,645	0,062351
16,934	0,062539
17,166	0,063107
17,346	0,063189
17,466	0,063612
17,586	0,06411
17,707	0,063998
17,92	0,064191
18,128	0,064362
18,331	0,064881
18,505	0,066019
18,666	0,066384
18,812	0,066604
18,945	0,066725
19,061	0,068917
19,163	0,069162
19,269	0,068136
19,356	0,069727
19,499	0,070289
19,709	0,072524
19,92	0,073153
20,135	0,073793
20,386	0,074526
20,619	0,0761
20,819	0,076999
21,008	0,077539
21,33	0,077815
21,598	0,079326
21,866	0,080304
22,133	0,081117
22,448	0,083159
22,726	0,084417
23,007	0,085096
23,326	0,086953
23,645	0,087958
23,879	0,088983
24,035	0,089884
24,191	0,091365
24,347	0,093186
24,629	0,094043
24,875	0,0955
25,147	0,096323
25,354	0,097589
25,519	0,09838
25,736	0,099015
25,927	0,099377
26,084	0,10047
26,243	0,10086
26,401	0,10093
26,56	0,10129
26,737	0,10183
26,85	0,10293
26,999	0,10378
27,231	0,10429
27,443	0,105
27,629	0,10642
27,786	0,10676
27,898	0,10614
27,99	0,10589
28,057	0,1051
28,216	0,10299
28,363	0,10291
28,5	0,10303
28,637	0,10288
28,773	0,10265
28,97	0,10349
29,175	0,10362
29,38	0,10639
29,507	0,10699
29,67	0,1079
29,78	0,10879
29,89	0,10952
30	0,11076
30,095	0,11135
30,178	0,11158
30,249	0,11239
30,311	0,11391
30,406	0,11478
30,5	0,11519
30,662	0,11656
30,824	0,11821
30,987	0,11916
31	0,11897
31,167	0,12048
31,333	0,12213
31,5	0,12569
31,656	0,12776
31,771	0,12777
31,885	0,12958
31,943	0,13015
32	0,13136
32,087	0,1447
32,191	0,16791
32,278	0,18836
32,352	0,20266
32,426	0,21885
32,5	0,23377
32,583	0,25624
32,644	0,27215
32,677	0,27967
32,704	0,2923
32,734	0,31122
32,778	0,33077
32,82	0,35402
32,859	0,37805
32,895	0,4022
32,926	0,41446
32,951	0,43078
32,975	0,44886
33	0,46154
33,024	0,46398
33,047	0,47807
33,067	0,48697
33,089	0,49461
33,109	0,49984
33,129	0,50674
33,15	0,51069
33,167	0,51936
33,183	0,52082
33,2	0,52082
