Pilot Height;SENS2_FZ
0;0,013523
0,28752;0,016639
0,65294;0,018752
1,0184;0,020472
1,3838;0,021562
1,6603;0,022352
1,9368;0,022861
2,2133;0,023023
2,5788;0,02369
2,9442;0,024281
3,3096;0,024837
3,675;0,025301
3,9256;0,025694
4,1761;0,026029
4,4267;0,026408
4,7921;0,026875
5,1575;0,027347
5,5229;0,027728
5,8884;0,028218
6,1389;0,028586
6,3895;0,028928
6,64;0,029259
7,0054;0,029675
7,3708;0,029928
7,7363;0,030284
8,1017;0,030688
8,3522;0,031037
8,6028;0,031328
8,8533;0,031735
9,2188;0,031936
9,5311;0,0323
9,7813;0,031888
10,01;0,032121
10,362;0,032272
10,714;0,032619
11,067;0,033155
11,362;0,033666
11,677;0,033752
11,956;0,034145
12,247;0,034263
12,592;0,034773
12,821;0,034849
13,051;0,035092
13,28;0,035259
13,55;0,035469
13,788;0,03578
14,031;0,036087
14,325;0,036527
14,58;0,036845
14,882;0,037063
15,086;0,037192
15,29;0,037375
15,493;0,037845
15,837;0,038582
16,169;0,03869
16,38;0,038744
16,645;0,039118
16,934;0,039165
17,166;0,039269
17,346;0,039567
17,466;0,039878
17,586;0,040124
17,707;0,04044
17,92;0,040525
18,128;0,040818
18,331;0,041101
18,505;0,041466
18,666;0,041579
18,812;0,041785
18,945;0,042607
19,061;0,044143
19,163;0,044251
19,269;0,043516
19,356;0,044403
19,499;0,046151
19,709;0,047871
19,92;0,048356
20,135;0,048698
20,386;0,049676
20,619;0,050793
20,819;0,05147
21,008;0,052059
21,33;0,052145
21,598;0,05338
21,866;0,053842
22,133;0,054839
22,448;0,055528
22,726;0,057035
23,007;0,057765
23,326;0,058784
23,645;0,059594
23,879;0,060272
24,035;0,061215
24,191;0,062347
24,347;0,063487
24,629;0,064291
24,875;0,064955
25,147;0,065486
25,354;0,066622
25,519;0,067164
25,736;0,067462
25,927;0,067898
26,084;0,068858
26,243;0,069345
26,401;0,069707
26,56;0,069988
26,737;0,07037
26,85;0,070689
26,999;0,0714
27,231;0,071982
27,443;0,072333
27,629;0,073296
27,786;0,073591
27,898;0,07413
27,99;0,074285
28,057;0,074101
28,216;0,0736
28,363;0,073918
28,5;0,074319
28,637;0,074537
28,773;0,074812
28,97;0,075
29,175;0,075818
29,38;0,076777
29,507;0,077139
29,67;0,078169
29,78;0,0786
29,89;0,079332
30;0,079964
30,095;0,080264
30,178;0,080793
30,249;0,081681
30,311;0,082766
30,406;0,08318
30,5;0,083998
30,662;0,084406
30,824;0,085546
30,987;0,085902
31;0,086334
31,167;0,087649
31,333;0,088925
31,5;0,091474
31,656;0,093476
31,771;0,094317
31,885;0,095914
31,943;0,096905
32;0,09757
32,087;0,10636
32,191;0,12312
32,278;0,13834
32,352;0,14879
32,426;0,16026
32,5;0,1716
32,583;0,18616
32,644;0,19814
32,677;0,20381
32,704;0,21244
32,734;0,22477
32,778;0,23838
32,82;0,25444
32,859;0,2723
32,895;0,28854
32,926;0,29717
32,951;0,30869
32,975;0,32103
33;0,33055
33,024;0,33413
33,047;0,34396
33,067;0,3495
33,089;0,35417
33,109;0,35747
33,129;0,36191
33,15;0,36481
33,167;0,37138
33,183;0,37311
33,2;0,37311
