Time	SENS1_FZ
0	0,017429
0,00096706	0,021794
0,0021851	0,024267
0,0034032	0,026254
0,0046213	0,027704
0,0055623	0,028842
0,0065034	0,029732
0,0074444	0,030335
0,0086625	0,030973
0,0098806	0,031759
0,011099	0,032509
0,012317	0,033161
0,013174	0,033513
0,014032	0,034143
0,014889	0,034445
0,016107	0,034978
0,017325	0,0356
0,018543	0,035986
0,019761	0,036494
0,020619	0,036886
0,021476	0,037254
0,022333	0,037575
0,023551	0,03812
0,024769	0,038309
0,025988	0,038869
0,027187	0,039327
0,028051	0,039533
0,028914	0,039862
0,029778	0,04028
0,030996	0,040674
0,032214	0,041149
0,033364	0,041531
0,034582	0,042076
0,035462	0,042382
0,036342	0,042717
0,037222	0,043033
0,038026	0,043275
0,038729	0,043762
0,039379	0,04435
0,040597	0,044463
0,041815	0,045023
0,042737	0,045485
0,04338	0,045807
0,044023	0,046088
0,044667	0,046304
0,045497	0,046869
0,046265	0,047135
0,046951	0,047517
0,047658	0,047886
0,0484	0,04833
0,048849	0,048417
0,049297	0,048595
0,049615	0,048561
0,049917	0,048887
0,0505	0,049155
0,051306	0,049583
0,052111	0,049956
0,05291	0,050225
0,053638	0,050467
0,054348	0,050915
0,055015	0,051318
0,055971	0,051752
0,056575	0,052065
0,057215	0,052399
0,057665	0,05251
0,05821	0,052864
0,05857	0,053127
0,059063	0,053336
0,059556	0,053337
0,060174	0,053641
0,060965	0,054122
0,061854	0,054438
0,062593	0,054989
0,063358	0,05642
0,064117	0,057206
0,065052	0,057717
0,065701	0,059106
0,066351	0,059943
0,067	0,060576
0,068192	0,062132
0,069341	0,063751
0,070507	0,064248
0,071672	0,065104
0,072498	0,066122
0,073147	0,066511
0,073796	0,067113
0,074444	0,067897
0,075573	0,068694
0,076715	0,069979
0,077838	0,071059
0,078823	0,072401
0,079686	0,073287
0,080421	0,074416
0,08091	0,074406
0,081399	0,07535
0,081889	0,076377
0,082664	0,077821
0,083349	0,078887
0,084297	0,079698
0,085071	0,080288
0,085541	0,080678
0,086146	0,081255
0,086549	0,081636
0,086944	0,082028
0,087292	0,082003
0,087599	0,082923
0,088177	0,083201
0,088755	0,083599
0,089333	0,083911
0,089844	0,084391
0,090259	0,084794
0,090622	0,08514
0,090927	0,085408
0,091193	0,085474
0,091403	0,08579
0,09158	0,085851
0,092	0,086377
0,092513	0,085975
0,093003	0,085195
0,093778	0,082799
0,094531	0,081654
0,095224	0,082473
0,095742	0,082869
0,09626	0,083035
0,096778	0,08409
0,097412	0,084985
0,098104	0,086075
0,098736	0,087035
0,099368	0,088172
0,1	0,089932
0,10056	0,091113
0,10111	0,092039
0,10167	0,093545
0,10222	0,095
0,10278	0,096153
0,10333	0,096846
0,10378	0,097675
0,10422	0,098327
0,10461	0,099018
0,105	0,09956
0,10547	0,10012
0,10587	0,10137
0,10627	0,10284
0,10667	0,10485
0,10695	0,10589
0,10741	0,10713
0,10787	0,11794
0,10833	0,13789
0,10882	0,15587
0,10921	0,17046
0,10948	0,18522
0,10965	0,19698
0,10983	0,20646
0,11	0,21891
0,11022	0,2369
0,11042	0,26349
0,11056	0,28202
0,11068	0,29702
0,1108	0,30904
0,1109	0,32074
0,111	0,32776
0,11109	0,33628
0,11118	0,34442
0,11126	0,35259
0,11133	0,35809
0,1114	0,36355
0,11146	0,36661
0,11153	0,37195
0,1116	0,37823
0,11167	0
