Pilot Height	SENS2_FZ
0	0,016737
0,29012	0,020935
0,65554	0,023311
1,021	0,025386
1,3864	0,027094
1,6687	0,027993
1,951	0,028721
2,2333	0,02919
2,5988	0,029907
2,9642	0,030631
3,3296	0,031324
3,695	0,031843
3,9522	0,032354
4,2095	0,032653
4,4667	0,033218
4,8321	0,03395
5,1975	0,03427
5,5629	0,034734
5,9284	0,035149
6,1856	0,035514
6,4428	0,035831
6,7	0,036347
7,0654	0,036798
7,4308	0,037193
7,7963	0,037388
8,1561	0,037747
8,4152	0,038153
8,6743	0,038467
8,9333	0,03865
9,2988	0,039125
9,6642	0,039645
10,009	0,040242
10,375	0,04066
10,639	0,040897
10,903	0,041348
11,167	0,041702
11,408	0,042185
11,619	0,041713
11,814	0,041903
12,179	0,042551
12,545	0,04303
12,821	0,043378
13,014	0,043488
13,207	0,043713
13,4	0,044138
13,649	0,044535
13,88	0,044921
14,085	0,045154
14,297	0,045421
14,52	0,0455
14,655	0,045794
14,789	0,04605
14,885	0,046275
14,975	0,04648
15,15	0,046714
15,392	0,047168
15,633	0,047474
15,873	0,047948
16,091	0,04829
16,304	0,048552
16,505	0,048869
16,791	0,049191
16,973	0,049537
17,165	0,049497
17,3	0,049837
17,463	0,050275
17,571	0,0504
17,719	0,050516
17,867	0,051079
18,052	0,051676
18,29	0,05215
18,556	0,052197
18,778	0,05253
19,007	0,055818
19,235	0,05648
19,516	0,057017
19,71	0,058605
19,905	0,059988
20,1	0,061508
20,458	0,063068
20,802	0,064975
21,152	0,065781
21,502	0,066687
21,75	0,067493
21,944	0,068645
22,139	0,069096
22,333	0,069796
22,672	0,070842
23,015	0,071995
23,351	0,073613
23,647	0,074763
23,906	0,076075
24,126	0,076495
24,273	0,076761
24,42	0,07781
24,567	0,079107
24,799	0,080405
25,005	0,081334
25,289	0,082442
25,521	0,083365
25,662	0,083769
25,844	0,084391
25,965	0,084671
26,083	0,085322
26,188	0,085232
26,28	0,086048
26,453	0,086715
26,627	0,087373
26,8	0,087659
26,953	0,088252
27,078	0,088607
27,187	0,088693
27,278	0,089052
27,358	0,089526
27,421	0,089474
27,474	0,089679
27,6	0,0905
27,754	0,090157
27,901	0,090553
28,133	0,090172
28,359	0,090724
28,567	0,091537
28,723	0,091886
28,878	0,092179
29,033	0,092787
29,223	0,09428
29,431	0,095422
29,621	0,096134
29,81	0,097487
30	0,099264
30,167	0,10081
30,333	0,10248
30,5	0,10374
30,667	0,10496
30,833	0,10657
31	0,10795
31,133	0,10866
31,267	0,10889
31,383	0,10962
31,5	0,1111
31,641	0,11198
31,761	0,11348
31,88	0,11506
32	0,11684
32,085	0,11796
32,223	0,11974
32,362	0,13244
32,5	0,15481
32,646	0,17606
32,764	0,19174
32,843	0,20832
32,895	0,22073
32,948	0,23303
33	0,24796
33,065	0,2691
33,126	0,29968
33,167	0,32021
33,205	0,33575
33,24	0,34977
33,27	0,36357
33,3	0,37189
33,327	0,38306
33,353	0,39213
33,378	0,40117
33,398	0,40794
33,419	0,41398
33,439	0,41798
33,459	0,4253
33,48	0,43248
33,5	0
