Pilot Height;SENS3_FZ
0;0,011679
0,29012;0,014508
0,65554;0,016203
1,021;0,017614
1,3864;0,018626
1,6687;0,01939
1,951;0,019827
2,2333;0,020394
2,5988;0,020717
2,9642;0,021096
3,3296;0,021449
3,695;0,021919
3,9522;0,022162
4,2095;0,022598
4,4667;0,022786
4,8321;0,023126
5,1975;0,023509
5,5629;0,023897
5,9284;0,024229
6,1856;0,024404
6,4428;0,024674
6,7;0,02509
7,0654;0,025243
7,4308;0,02542
7,7963;0,025574
8,1561;0,025999
8,4152;0,026191
8,6743;0,026259
8,9333;0,026437
9,2988;0,026833
9,6642;0,027077
10,009;0,027285
10,375;0,027644
10,639;0,027858
10,903;0,028095
11,167;0,028314
11,408;0,028627
11,619;0,028697
11,814;0,028929
12,179;0,029068
12,545;0,029409
12,821;0,029791
13,014;0,030009
13,207;0,030053
13,4;0,030041
13,649;0,030438
13,88;0,030587
14,085;0,030833
14,297;0,030984
14,52;0,031165
14,655;0,03118
14,789;0,031292
14,885;0,031332
14,975;0,031531
15,15;0,031688
15,392;0,031977
15,633;0,032043
15,873;0,03227
16,091;0,03233
16,304;0,032734
16,505;0,032923
16,791;0,033205
16,973;0,033286
17,165;0,033428
17,3;0,0336
17,463;0,033864
17,571;0,034109
17,719;0,034032
17,867;0,033895
18,052;0,034139
18,29;0,03449
18,556;0,034701
18,778;0,034967
19,007;0,038009
19,235;0,039084
19,516;0,039699
19,71;0,041683
19,905;0,042735
20,1;0,043956
20,458;0,046331
20,802;0,047154
21,152;0,047631
21,502;0,049308
21,75;0,050006
21,944;0,050567
22,139;0,05108
22,333;0,051317
22,672;0,052568
23,015;0,053322
23,351;0,054685
23,647;0,055764
23,906;0,056774
24,126;0,057695
24,273;0,057668
24,42;0,058413
24,567;0,059194
24,799;0,060336
25,005;0,061238
25,289;0,062178
25,521;0,062689
25,662;0,063064
25,844;0,0634
25,965;0,063763
26,083;0,064294
26,188;0,064236
26,28;0,064707
26,453;0,064866
26,627;0,065621
26,8;0,06608
26,953;0,066256
27,078;0,066676
27,187;0,067042
27,278;0,067403
27,358;0,067848
27,421;0,068101
27,474;0,068292
27,6;0,068756
27,754;0,069531
27,901;0,07195
28,133;0,07381
28,359;0,074443
28,567;0,075469
28,723;0,076369
28,878;0,077137
29,033;0,078072
29,223;0,078933
29,431;0,080409
29,621;0,081609
29,81;0,082949
30;0,084478
30,167;0,085998
30,333;0,087783
30,5;0,08902
30,667;0,090709
30,833;0,092197
31;0,093387
31,133;0,094767
31,267;0,096019
31,383;0,096815
31,5;0,097982
31,641;0,099701
31,761;0,10113
31,88;0,10272
32;0,10442
32,085;0,10745
32,223;0,11024
32,362;0,1229
32,5;0,14355
32,646;0,16083
32,764;0,17528
32,843;0,19001
32,895;0,20183
32,948;0,21235
33;0,22552
33,065;0,24461
33,126;0,27001
33,167;0,28792
33,205;0,30181
33,24;0,31349
33,27;0,32511
33,3;0,33202
33,327;0,34074
33,353;0,34876
33,378;0,35691
33,398;0,36269
33,419;0,36815
33,439;0,37169
33,459;0,37731
33,48;0,38379
33,5;0
